"date","city","state","shape","duration","summary","posted"
"3/6/05 20:00","Westmeath (Republic of Ireland)",NA,"Cylinder","approx 15 mins","rapid scattered flashes in a clouidy sky with a craft emerging that seemed to be associated with them","5/11/05"
"3/5/05 20:00","Gold Coast (QLD, Australia)",NA,"Light","3 - 5 mins","Moving very slow and then very fast, traveling around planets and then speeding up.","5/11/05"
"3/4/05 22:00","Sydney (west) (NSW, Australia)",NA,"Flash","2 secs","bright orange moving flash???","5/11/05"
"3/4/05 20:25","Canberra (Australia)",NA,"Circle","8 minutes","Object stops still in the sky, changes trajectory and flies back in the opposite direction only to disappear.","5/11/05"
"3/3/05 22:00","Campinas/Sao Paulo (Brazil)",NA,"Light","longer than 10 minutes","05 superposed, very bright and intensive lights, standing still and very high in the dark blue sky. I could compare it with TV towers","9/2/05"
"3/1/05 01:25","Chennai (India)",NA,"Disk","3mins","2 crafts near by flying 4 3 mins","3/11/06"
"3/1/05 01:15","Auckland (New Zealand)",NA,"Circle","1 minute","Auckland New Zealand Sighting 1 March 2005","4/16/05"
"2/27/05 03:00","Ostersund (Sweden)",NA,"Circle","3","blue round light with darker blue round light in the interior, with a tail almost like a comet but pure blue coming out of the rear end","4/16/05"
"2/26/05 23:00","Chiseldon (UK/England)",NA,"Formation","1 hour at least","Circle of stationery red equidistant lights in night sky, helicopter circling monitoring formation.","4/16/05"
"2/22/05 15:45","Netherlands",NA,"Disk","5 minutes","two UFO's who where chasing each other","2/22/05"
"2/21/05 20:35","Embu (Brazil)",NA,"Fireball","5 seconds","Great yellow light like fireball behind some trees in Embu, SP - Brazil","2/22/05"
"2/20/05 23:30","Daejon (South Korea)",NA,"Light","a few secs?","I took a picture of night scene, and I found a UFO on one of my pictures.","2/22/05"
"2/20/05 02:00","Quatre Bornes (Mauritius)",NA,"Other","5 secs","Looking out of the window. Saw 3 ballons glowing together, passing by. Lasted 5 secs.","2/22/05"
"2/19/05 19:15","Dhaka (Bangladesh)",NA,"Light","8 to 10 sec","Tiny reddish dot moved past Constellation Gemini & Planet Saturn","2/22/05"
"2/15/05 23:00","Adelaide (South Australia)",NA,"Other","15 SEC","TWO VERY LARGE FLYING WINGS FLYING FROM WEST TO EAST","2/22/05"
"2/15/05 22:50","Belfast (Northern Ireland)",NA,"Light","5 mins","shape of lights in the night sky","2/22/05"
"2/15/05 02:00","Ostursund (Sweden)",NA,"Sphere","1-2 seconds","witnessed blue sphere, with solid darker blue core, streaking across sky 100 ft awy above apt complex with blue trail coming out back,","5/11/05"
"2/13/05 20:10","Dhaka (Bangladesh)",NA,"Unknown","1 minute","Unknown craft with string of colored blinking lights in night sky","2/22/05"
"2/12/05 22:00","Matauri Bay (New Zealand)",NA,"Light","30min","Bright Orange lights seen over Matauri Bay, New Zealand. Multiple witnesses, Police and Marine radio both discussing.","2/22/05"
